method,a,b,r0,rmse_bps,time_s
Vasicek (LS),0.10596794365446603,0.07201418598774648,0.040528911737158176,4.3773351822019135,0.006041999906301498
Hull-White (LM),0.1,,0.041349196658594586,0.5287522753519699,0.03581159980967641
Neural (Vasicek),0.06482569873332977,0.09633202105760574,0.04096544533967972,27.14284517367865,8.278089994564652e-05
Hybrid (NN -> LM),0.01949141516385834,0.19999999999892693,0.040671424728393406,3.539408942467246,0.027591780819464475
